Product Name,Weight,Wholesale Price
"[가정용 하우스] 제주 천혜향 혼합과 3kg",3kg,12900
"[가정용 하우스] 제주 천혜향 혼합과 5kg",5kg,16300
"[가정용 하우스] 제주 천혜향 혼합과 10kg",10kg,27600
"[가정용 하우스] 제주 천혜향 소과 3kg",3kg,12900
"[가정용 하우스] 제주 천혜향 소과 5kg",5kg,18300
"[가정용 하우스] 제주 천혜향 소과 10kg",10kg,30600
"[가정용 하우스] 제주 천혜향 중과 3kg",3kg,18300
"[가정용 하우스] 제주 천혜향 중과 5kg",5kg,28100
"킹스베리 특 500g",500g,14800
"킹스베리 특 1kg",1kg,26200
"킹스베리 특특 500g",500g,17500
"킹스베리 특특 1kg",1kg,31100
"킹스베리 왕 500g",500g,19700
"킹스베리 왕 1kg",1kg,36000
"[특품] 설향 딸기 400g",400g,12600
"[특품] 설향 딸기 800g",800g,20800
"나주 신고배 가정용 소과 2kg",2kg,9000
"나주 신고배 가정용 소과 2.5kg",2.5kg,10400
"나주 신고배 가정용 소과 3kg",3kg,12800
"나주 신고배 가정용 소과 4kg",4kg,15500
"나주 신고배 가정용 소과 4.5kg",4.5kg,13600
"나주 신고배 가정용 소과 5kg",5kg,18300
"나주 신고배 가정용 중대과 2kg",2kg,11200
"나주 신고배 가정용 중대과 2.5kg",2.5kg,13100
"성주 꿀참외 가정용 3kg",3kg,16800
"성주 꿀참외 가정용 5kg",5kg,26500
"성주 꿀참외 정품 3kg",3kg,19500
"성주 꿀참외 정품 5kg",5kg,31000
"하우스수박 가정용 5kg",5kg,25000
"하우스수박 가정용 7kg",7kg,32000
"하우스수박 소형 3kg",3kg,18000
"경북 부사사과 선물용 3kg",3kg,23000
"경북 부사사과 선물용 5kg",5kg,36000
"경북 부사사과 가정용 3kg",3kg,16500
"경북 부사사과 가정용 5kg",5kg,26000
"제주 애플망고 2개입 (약 800g)",800g,18000
"제주 애플망고 4개입 (약 1.6kg)",1.6kg,32000
"제주 애플망고 선물용 6개입 (약 2.4kg)",2.4kg,46000
"샤인머스캣 1.5kg",1.5kg,28000
"샤인머스캣 2kg",2kg,36000
"캠벨포도 2kg",2kg,12000
"캠벨포도 4kg",4kg,22000
"대추방울토마토 스테비아 500g",500g,8500
"대추방울토마토 스테비아 1kg",1kg,15000
"대추방울토마토 스테비아 2kg",2kg,27500
"토마토 완숙 2kg",2kg,8900
"토마토 완숙 3kg",3kg,12800
"멜론 머스크 2개입 (약 3kg)",3kg,22000
"멜론 머스크 4개입 (약 6kg)",6kg,40000
"복숭아 천도 2kg",2kg,16000
"복숭아 천도 3kg",3kg,22000
"복숭아 백도 2kg",2kg,19000
"복숭아 백도 3kg",3kg,27000
